tweet,sentiment
also just hanging right now?? just bored hahaha didn`t have to work again today this is different....  no hours no money lol whatev,0
gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i`ll never had a chance,0
"In Y!M, when you sign in and sign out repeatedly, you`re not annoying.",1
You are welcome  I love cute stuff!,1
had an amazing night with the girls,1
i lost one of my best friends iï¿½m sooo sad,0
i like OGBERRY,1
Ohhhhh Barcalona. Please dont ruin this  #bgt,1
I think my modem failed-having pc withdrawals..,0
Goin to bed... Finally. So sleepy! *Happy mothers day!*,1
My friends are awesome!   -- and the non Twitter ones here right now too!!,1
"Thanks for follow. Was just adding you from your twitter page, after commenting your blog",1
OOuUch!...good luck,1
"you two are hilaaaaarious, I love it. Vernae where have you been  ?",1
"Morning, dude! Ivy has decided she wants to go on a boat today. Are you guys around this PM? Would be nice to see you.",1
"Nope  Not that I have to worry about the possibility. I`m more worried about GOOG`s design than her personal taste, actually.",0
I have just read up on lactose stuff and I CAN EAT HARD CHEESE!!! There is no lactose in it!!! *Jumps of Joy this rainy day* YAY!!!!,1
feels ****! and feet are aching  need my beeeeeddddddd!!!,0
Fun times ~ that`s my friends beer!  here`s the pic`  http://yfrog.com/053agj,1
That`s me set up for an exciting Sunday lol,1
although I know he would never be okay with a homebirth. Moot point since we`re done w/ babies,0
had fun at wango tangooo!,1
loves my new twitter background...my two heros...wichita and kraussey!  haha,1
Hello there hope your over your flu now,1
whew. did some more vacuuming. what a good time! You should vacuum.,1
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",0
Fire call today missed it,0
Tired! I may have to go to bed. Trouble is I miss all my American evening friends.     X,0
Hope you don`t get let down again.,1
miss your smile,0
maybe one day I can be on your favorite producers list  lol,1
"GoodMorning, Hope Everyone Has A Beautiful Day Today  x",1
whats wrong with my flickr  http://www.flickr.com/photos/frenchtoastcake/ my quilt top photo only shows when you click on it! SAD STORY!!!,0
Midnight ice-cream weather! So **** bored,0
Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x,1
_breannarose fuuuuuuck  idk if andy can get youuuu,0
You are sooo lucky. My fiance is away w/the Marine Corps...haven`t even seen him yet!,1
My phone does not work in the DONS,0
"Want: Trip to Boston next month. Need: Addit`l motivation to save the $ to do so.  Beloved daughter wants to go with, which = 2x the $.",1
Haha how exciting  wat does it look like?!,1
Happy Mother`s Day!!,1
maybe I missed my chance this time,0
"i like this new trend ,  who`s next ? http://tinyurl.com/qcy8d4",1
"so bored at work, its ridiculous, and my Saturday is going to suck with class in the morning",0
Facebook.com isint letting me change my profile picture,0
just had a bbq... YUM im full now,1
"thanks for adding, no befriending, no, uh oh never mind, Thanks!",1
good day,1
Cant wait to see my boy tomorrow,1
aww we love you too,1
"just got back from..ahem, meal#4...was boring but had to eat nonetheless",0
Too bad we`re in Sweden where Up isn`t up on the theaters  here until October,0
feeling like in 16 again - watching TWILIGHT & enjoying it,1
sorry about that anna wintour repeated tweets!! sooo sorry  somethings up... | was wondering abt the quad tweet ;),0
BIG HUG FOR YOU,1
"HAHAAH! Crys, you blowing the fuses is a typical move",0
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0
i have three hours to do my hair. and it STILL won`t be straight,0
Ta very much!  Happy B-Day to G-son,1
My head hurts,0
has stuff to do but refuses to do them.  :[,0
FINALLY...the internet is up. The server is down in Phoenix and it was **** up.,0
star trek was grtsat bggeting drunk now,1
"Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever.",0
thanks Janis,1
hahah  i loveeee him though.,1
They took my property,0
Isnt it only like 3 episodes though? Sad,0
possessed beyond certainty that she has made the rite decision,1
do it at like like 9 causeee im babysitting haha or you should call me causeee im kinda bored right now,0
_says ha ha funny,1
Gotta get ready to leave....Alec and I are going hunting outside of Volterra. This should be fun.  Talk to everyone later.,1
"_ YEEEAH :`D lmao, dentists aren`t nice  espesh after they decide your too old for goodie bags with stickers & awesome toothpaste",1
Hah! Thanks.,1
I`m sorry,0
thats so cool,1
pretty tired after a nice full day.,1
Just got back from  `s party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother`s day,1
Morning Tweethearts! Now home after traveling 302 mi.thru 2 states & 2 faires in 3 days. So inspired! Ready to write as I enjoy coffee.,1
Good Morning everyone! Enjoy your day! Thinking of all my tweet friends,1
_fann coming up! Sowwy!,0
Happy mama`s day to all the mamas.,1
OMG JLO AND MARC ANTHONY WERE AT MY OLD SCHOOL GRADUATION  BRB UPSET,0
"Hello, you are sooo awesome!! Dont ever stop what your doing haha, You make me fall off my chair laughing  x",1
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,0
haha i just realised it sounded a lot like stellllaaa lol. anyhoo i got ur facebook msg and will start working soon hopefully,1
i may cry **** this weather got my **** burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha,0
ummm.. sure! i miss ya`ll alot too.  i think you know who i meant.,0
"wow,that must be sooo cool",1
so sorry about that  I have the same issues...LOL. My weekend started about an hour ago!!!,0
Morning tweeple,1
Goodnight peoples!,1
At work and really slow for a beautiful day and a Friday.,1
I have been to Tara Thai a few times for friend`s birthdays and the food I had was pretty bad.,0
"Allianz interview went well, got a rejection from MOD though  .... going to be a long weekend as I hear from Allianz on Monday",1
"It`s a pleasure , Will be wary of girlie marshmallows from now on lol  You might have saved my life .lol ;-)",1
i`ve got nothing witty to tweet,1
"i`m sunburnt on my arms, and i have burnt my mouth, and some skin is coming off",0
"no I won`t honey I got mad yrs to go , why am I crazy?",0
_hand Oops! I completely forgot!,0
Yep! Tail between legs!,0
"yeah I`ve been there, my son is two so we go to only the kid friendly places now;) congrats on the baby!",1
I can understand the fear. I feel that way about many things. You really need motivation to overcome it. Mine was guilt,0
"BTW, thanks for the gifts.  I`m wearing my shirt, having a dunker and Apple loved that chicken soup; just what she needed!",1
I just lost my favorite pen  good thing I have a back up =D,0
Watching Jeremy assemble jr`s new radio flyer bike!!!  Jr is sick with 100 degree fever  taking a nap.  This will cheer him up though!,0
"happy mother`s day, mommy! hope you will have a good day",1
Hates moving,0
The Hangover: That movie is gonna be hilarious. wish i could see it with the crew,1
"wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke",1
"Got my tattoo fixed today, and it didn`t hurt to much, thank god  Can`t wait to get the next one. $$$.",1
when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street,1
Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.,1
Hooray!,1
Attempting to sleep. My puppy is sick already,0
My cat has been missing for 2 days. I am freaking out.,0
installed ubuntu 9.04 on my office lap! yaaaaaaaaaaaay!   'install under windows' feature rocks!! #awesome #ubuntu #excited,1
_Anais I feel reeeally bad now.... sorry,0
"fair enough. actually, you dont have to give me x-men.  mad max will do me fine",1
"**** - that`s sad, then... I haven`t heard the new one yet. Sounds like I`ve been spared a tragedy.",0
"**** straight you know what the game is, and if you`ve heard the tracks you`ll know why I`ve been rocking out",1
_rashid aww how cute  I like that song a lot,1
"yeah, getting shows can be an interesting process.  the key is following up... at least that`s what i`ve learned so far",1
Order Pizza from the Pizza Girl!  We have to sing about it!  I love that new song. so excited for the new song from JB PARANOID 4 days,1
"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them",0
"Oh, you poor thing!!    So sorry, babe....",0
anywhere!!! i don`t mind...as long as i`m superman and there`s good music...all is sweet,1
no turkey leg? i can`t believe it!,0
my eyes hurts..,0
good morning misfit *passes you Tylenol*,1
"helllllloooooooooooo tom, gig tonight? sorry im not sure when your shows are over there! miss you in the UK  HI HI HI HI HI ****",0
Been working on my freakin` computer trying to save stuff on a harddrive and it seems I failed miserably.,0
ohh **** i just realized she still not talking to me  it b like dat some times..,0
good luck in the pressure test! don`t worry everything will be great,1
Listing to a sad song  so i am sad too,0
because I couldn`t get the money to mikey in time.  trust me. It makes me sad too.,0
Just took my IC photo!looks good  - http://tweet.sg,1
_Layne you`re welcome sweety!  muah! xoxox luv ya!,1
Happy muthath`s day to all moms!!! I salute you!,1
mmmm... looks so yummy! good seeing u,1
cheeks bakery just closed  crazy how williamsburg can support an infinite # of boutiques w/bad clothes and not one decent place 4 a scone,0
i got a replacement phone and now all my text messages and call history are gone.  I am sad.,0
It`s a sad day for beer drinking movie goers. The Speakeasy theaters are no more,0
"Watching Twilight again  !!! <3 I`m watching the Audio Commentary, it`s sooo funny ;)",1
_and_jay hi!  **** your job!,0
That`s more than ok. Personally I`m very good in doing nothing,1
"as nerdy as I am, I just found out it was Star Wars day today!  I love you D",1
not good enough!,0
ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya,1
#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that,1
bored fixed the internet for my dad but now im bored to death,0
"I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .",1
"helooo, how wos work pretty, hope it was alright and a certain individual didnt ruin it.",1
Why hasn`t he called. I`m being blown off yet again.,0
Through to quaterfinals of charity football tournament. My penalty save sent us through,1
rofl! we aren`t wearing dark grungy though! I asked bradie if it was ok he said yess,1
thanks Daxx you too!  God Bless you brother!,1
